,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 21,Life changing courses at Cornell?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",4,"[('life', 1), ('changing', 1), ('courses', 1), ('cornell?', 1), ('how', 1), ('tf', 1), ('i', 1), ('get', 1), ('stuck', 1), ('online', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",24,271.0,31,1.0
Post 22,How tf did I get stuck with more online classes this semester,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",4,"[('life', 1), ('changing', 1), ('courses', 1), ('cornell?', 1), ('how', 1), ('tf', 1), ('i', 1), ('get', 1), ('stuck', 1), ('online', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",13,1011.0,30,1.0
Post 23,ready to get my calf muscles back,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",3,"[('chem', 3), ('3570', 3), ('ready', 1), ('get', 1), ('calf', 1), ('muscles', 1), ('back', 1), ('goodbye', 1), ('good', 1), ('riddance', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,166.0,24,0.97
Post 24,Goodbye CHEM 3570 and good riddance,3,"[('chem', 2), ('3570', 2), ('goodbye', 1), ('good', 1), ('riddance', 1), ('made', 1), ('actually', 1), ('cry', 1)]",3,"[('chem', 3), ('3570', 3), ('ready', 1), ('get', 1), ('calf', 1), ('muscles', 1), ('back', 1), ('goodbye', 1), ('good', 1), ('riddance', 1)]",3,"[('chem', 2), ('3570', 2), ('goodbye', 1), ('good', 1), ('riddance', 1), ('made', 1), ('actually', 1), ('cry', 1)]",11,20.0,25,1.0
Post 25,Professor Bruce Monger (everyone's favorite Oceanography pro) giving talk tonight on Climate Change! All are welcome. Sign up with the link below!,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",3,"[('chem', 3), ('3570', 3), ('ready', 1), ('get', 1), ('calf', 1), ('muscles', 1), ('back', 1), ('goodbye', 1), ('good', 1), ('riddance', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",0,1168.0,28,1.0
Post 26,Is anyone else kind of concerned about the storms coming to the north east with virtual exams?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,"[('anyone', 2), ('still', 2), ('i', 2), ('internship', 2), ('know', 2), ('is', 1), ('else', 1), ('kind', 1), ('concerned', 1), ('storms', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",4,1132.0,27,1.0
Post 27,CHEM 3570 made me actually cry,3,"[('chem', 2), ('3570', 2), ('goodbye', 1), ('good', 1), ('riddance', 1), ('made', 1), ('actually', 1), ('cry', 1)]",3,"[('chem', 3), ('3570', 3), ('ready', 1), ('get', 1), ('calf', 1), ('muscles', 1), ('back', 1), ('goodbye', 1), ('good', 1), ('riddance', 1)]",3,"[('chem', 2), ('3570', 2), ('goodbye', 1), ('good', 1), ('riddance', 1), ('made', 1), ('actually', 1), ('cry', 1)]",6,271.0,20,0.92
Post 28,deleting my account,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",3,29.0,20,0.91
Post 29,Gate going back up at Ezra's tunnel,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",1,343.0,20,0.96
Post 30,How to check if I’m still sane?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,"[('anyone', 2), ('still', 2), ('i', 2), ('internship', 2), ('know', 2), ('is', 1), ('else', 1), ('kind', 1), ('concerned', 1), ('storms', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",3,296.0,17,0.9500000000000001
